epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,15.140514761484846,15.140514761484846,13.028654545545578,13.028654545545578
1,14.142669400059479,14.142669400059479,13.037051258637355,13.037051258637355
2,14.072731476037939,14.072731476037939,12.943967829759304,12.943967829759304
3,13.930772407222658,13.930772407222658,12.644092992635874,12.644092992635874
4,13.690777733438361,13.690777733438361,12.423619064000937,12.423619064000937
5,13.308627951684594,13.308627951684594,12.331662276157966,12.331662276157966
6,13.027789692945374,13.027789692945374,12.073222398757935,12.073222398757935
7,13.0171568250803,13.0171568250803,12.502360774920536,12.502360774920536
8,12.832574003653853,12.832574003653853,13.164252484761752,13.164252484761752
9,13.088160848086606,13.088160848086606,12.110825628500718,12.110825628500718
10,12.817411188434239,12.817411188434239,12.053061914443969,12.053061914443969
11,12.870129824983822,12.870129824983822,11.928085433519804,11.928085433519804
12,12.758471653433778,12.758471653433778,11.935897317299476,11.935897317299476
13,12.651974365570567,12.651974365570567,12.061343418634856,12.061343418634856
14,12.687546634244795,12.687546634244795,11.96652015539316,11.96652015539316
15,12.712867364926351,12.712867364926351,12.07418615267827,12.07418615267827
16,12.659352370106024,12.659352370106024,11.918575981947091,11.918575981947091
17,12.75567531653474,12.75567531653474,12.234751186004052,12.234751186004052
18,12.641070043269675,12.641070043269675,12.214062511003934,12.214062511003934
19,12.589563870763248,12.589563870763248,12.209055579625643,12.209055579625643
20,12.61992945486944,12.61992945486944,11.948205294975867,11.948205294975867
21,12.60299479726987,12.60299479726987,12.226801778719976,12.226801778719976
22,12.585640727894702,12.585640727894702,11.839258834031911,11.839258834031911
23,12.486446334976236,12.486446334976236,12.080786345555232,12.080786345555232
24,12.509115103889037,12.509115103889037,11.883605203261743,11.883605203261743
25,12.500683737264316,12.500683737264316,11.902467001401462,11.902467001401462
26,12.422613717345541,12.422613717345541,12.034774670234093,12.034774670234093
27,12.37064965227096,12.37064965227096,11.972846612563501,11.972846612563501
28,12.313595100760715,12.313595100760715,11.885599672794342,11.885599672794342
29,12.436648269649705,12.436648269649705,12.06039486664992,12.06039486664992
30,12.29360172653108,12.29360172653108,11.897505224668063,11.897505224668063
31,12.252564181481683,12.252564181481683,12.068611172529367,12.068611172529367
32,12.236491400549916,12.236491400549916,12.148257598510156,12.148257598510156
33,12.271451384782283,12.271451384782283,12.170312769596393,12.170312769596393
34,12.163485941404529,12.163485941404529,12.190742442241081,12.190742442241081
35,12.109707233832928,12.109707233832928,12.244405396168048,12.244405396168048
36,12.079144571607527,12.079144571607527,12.317169077579791,12.317169077579791
37,12.116395910778646,12.116395910778646,12.014034452805152,12.014034452805152
38,12.113877282439745,12.113877282439745,12.243726868812855,12.243726868812855
39,11.925244222232951,11.925244222232951,12.25783865268414,12.25783865268414
40,11.93325152325986,11.93325152325986,12.122841439797329,12.122841439797329
41,11.940215735942711,11.940215735942711,12.339495356266315,12.339495356266315
42,11.821761778592217,11.821761778592217,12.12053792660053,12.12053792660053
43,11.692729744801616,11.692729744801616,12.460543505962079,12.460543505962079
44,11.544888899016227,11.544888899016227,12.544520033322847,12.544520033322847
45,11.5347478733727,11.5347478733727,12.443983675883366,12.443983675883366
46,11.50106849909902,11.50106849909902,12.662092262047988,12.662092262047988
47,11.402163731263899,11.402163731263899,12.57342846576984,12.57342846576984
