epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,15.117233360415243,15.117233360415243,13.140083803580357,13.140083803580357
1,14.10088253134208,14.10088253134208,13.331080874112937,13.331080874112937
2,14.093593411241146,14.093593411241146,13.038806644769815,13.038806644769815
3,14.088941382955133,14.088941382955133,12.946997480209058,12.946997480209058
4,14.059976155259152,14.059976155259152,13.016553471638606,13.016553471638606
5,14.097085395601512,14.097085395601512,12.950667949823233,12.950667949823233
6,14.053064904600431,14.053064904600431,12.945968267550835,12.945968267550835
7,14.063507433441458,14.063507433441458,13.165723439363333,13.165723439363333
8,14.109617088903496,14.109617088903496,13.04264670427029,13.04264670427029
9,14.050544630320426,14.050544630320426,13.056634206496753,13.056634206496753
10,14.071630426166013,14.071630426166013,13.033409701860869,13.033409701860869
11,14.094510211958136,14.094510211958136,13.039152706586398,13.039152706586398
12,14.027620361642628,14.027620361642628,12.969215261019194,12.969215261019194
13,14.092560597546036,14.092560597546036,12.948927146654862,12.948927146654862
14,14.07618260558706,14.07618260558706,13.007499610460721,13.007499610460721
15,14.077642604373299,14.077642604373299,12.954903829097749,12.954903829097749
16,14.053829196278333,14.053829196278333,12.971598398685455,12.971598398685455
17,14.116239497571781,14.116239497571781,12.94481523862252,12.94481523862252
18,14.059861885600395,14.059861885600395,13.007318019866943,13.007318019866943
19,14.084083965620534,14.084083965620534,13.019426887768965,13.019426887768965
20,14.097698919752203,14.097698919752203,12.967825002853687,12.967825002853687
21,14.078431717791961,14.078431717791961,12.974645694402549,12.974645694402549
22,14.094133412321154,14.094133412321154,13.026811823478113,13.026811823478113
23,14.077390754146617,14.077390754146617,12.975494002378904,12.975494002378904
24,14.095603024216802,14.095603024216802,12.938265811938505,12.938265811938505
25,14.031201188187552,14.031201188187552,12.953035985964995,12.953035985964995
26,14.022383815952455,14.022383815952455,12.876867935290704,12.876867935290704
27,13.932070463705164,13.932070463705164,13.14031809109908,13.14031809109908
28,13.769540969525092,13.769540969525092,12.932450172534356,12.932450172534356
29,13.681429859812976,13.681429859812976,13.463778352737426,13.463778352737426
30,13.675501618162768,13.675501618162768,12.72157376729525,12.72157376729525
31,13.457447368537778,13.457447368537778,12.591606487677648,12.591606487677648
32,13.403685065926718,13.403685065926718,12.653283591453846,12.653283591453846
33,13.299017647944535,13.299017647944535,12.861280260636256,12.861280260636256
34,13.27380807511023,13.27380807511023,12.693172440162073,12.693172440162073
35,13.225433566959456,13.225433566959456,12.20416222168849,12.20416222168849
36,12.928488390673339,12.928488390673339,12.054838653711172,12.054838653711172
37,12.907759320761349,12.907759320761349,12.054803847349607,12.054803847349607
38,12.808686374121157,12.808686374121157,12.107088019297674,12.107088019297674
39,12.713875316664156,12.713875316664156,12.135882311600906,12.135882311600906
40,12.699841441827994,12.699841441827994,12.020922695673429,12.020922695673429
41,12.654289003176531,12.654289003176531,12.193363903119014,12.193363903119014
42,12.783902549427342,12.783902549427342,11.954160162118765,11.954160162118765
43,12.67535081414695,12.67535081414695,11.957742890944848,11.957742890944848
44,12.59989213706249,12.59989213706249,12.210184803375832,12.210184803375832
45,12.563083340957306,12.563083340957306,11.998319304906405,11.998319304906405
46,12.544318703671989,12.544318703671989,12.060328379044165,12.060328379044165
47,12.599601131738348,12.599601131738348,11.93094064455766,11.93094064455766
48,12.457666604051768,12.457666604051768,12.161736350793104,12.161736350793104
49,12.449822118343885,12.449822118343885,12.060640032474812,12.060640032474812
50,12.482779299300645,12.482779299300645,12.212484975961539,12.212484975961539
51,12.442643982797572,12.442643982797572,11.919003460957454,11.919003460957454
52,12.50260510814046,12.50260510814046,11.967138105172378,11.967138105172378
53,12.463399842123769,12.463399842123769,11.954382061958313,11.954382061958313
54,12.349886835708745,12.349886835708745,13.097270310842074,13.097270310842074
55,12.446522362959156,12.446522362959156,12.144338527092566,12.144338527092566
56,12.452056929952752,12.452056929952752,11.951442298522363,11.951442298522363
57,12.313740523102666,12.313740523102666,12.079370867289029,12.079370867289029
58,12.291395854565861,12.291395854565861,12.631802927530728,12.631802927530728
59,12.270324440427201,12.270324440427201,12.173065137863158,12.173065137863158
60,12.296774800708864,12.296774800708864,12.180235187823955,12.180235187823955
